web-scraper-order,web-scraper-start-url,title_raw,address_raw,price_raw,description_raw
"1678953522-612","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Stützräder für 16 Zoll B´twin Velo","Zürich, 8618, 25.02.2023","8.-","Verkaufen diese Stützräder. Wir haben sie nur 2 Wochen benutzt.
Sie passen leider nur an die B´twin Velos von Decathlon.
Wenn das Kind bereit ist, ohne die Stützräder zu fahren, wird kein Werkzeug benötigt, um sie abzumontieren, man löst nur zwei Schrauben und los geht´s. So kann es in Sekundenschnelle auf zwei Rädern weitergehen! 
Rollen : 100.0% Polypropylen (PP) Struktur : 100.0% Stahl Schutzhülle : 100.0% Synthesekautschuk

Aus tier- und rauchfreiem Haushalt. Beim Kauf mehrerer meiner Artikel können wir gerne einen Set-Preis vereinbaren. Ware kann bei Übernahme der Portokosten auch verschickt werden."
"1678953522-613","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Velokorb vorne (Gratis Lieferung)","Zürich, 8004, 25.02.2023","42.-","Gratis Versand innerhalb von ca. 2-4 Arbeitstagen!
Sind Sie interessiert? Sie können direkt über den Link bestellen oder uns per Kontaktformular kontaktieren.

KORB FÜR VELOS VORNE:

- Geflochtener Korb
- Zur Anbringung am Lenker
- Einfache Montage mit Bügeln
- Der Korb verfügt über Tragegriff
- Masse: ca. 35 x 25 x 26 cm
- Farbe gemäss Abbildung


Art. 5271"
"1678953522-614","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Kristall E-Bike E25 SUV","Thurgau, 8355, 25.02.2023","3'200.-","Velos und e-bike vom Brunusbike 8355 Aadorf

Kristall e-bike Urban Sport brose T Mag 70nm-630 wh akku,shimano deore 10fach,shimano bremse MT400,schwalbe Big Ben 28*2.15

Rh50 (168-185 cm ca) perlnachtblue

Uvp 4499fr"
"1678953522-615","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Velokorb vorne braun (Gratis Lieferung)","Zürich, 8004, 25.02.2023","36.-","Gratis Versand innerhalb von ca. 2-4 Arbeitstagen!
Sind Sie interessiert? Sie können direkt über den Link bestellen oder uns per Kontaktformular kontaktieren.

KORB FÜR VELOS VORNE:

- Geflochtener Korb
- Zur Anbringung am Lenker
- Leichte Montage mit Bügeln
- Mit Tragegriff
- Masse: ca. 38 x 28 x 18 cm
- Farbe gemäss Abbildung


Art. 12664"
"1678953522-616","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Veloträger,  Fahrradträger 4 ,  4er","Schwyz, 8806, 25.02.2023","399.-","Fahrradträger für 4 Velos
Traglast ca 65,
Abkippbar, auch im vollbeladenen Zustand möglich
Top Veloträger zum guten Preis
Vergleichbare Modelle ab 600,- aufwärts 

Bei einer Achlast von mind. 85 kg oder mehr"
"1678953522-617","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Fahrradträger 3er  Verkauf & Vermietung","Glarus, 8865, 25.02.2023","355.-","Für3 Velos
Verkauf 355,-, Nutzlast 60kg  netto
wie agebildet aber Modell nur für 3 Fahrräder
Vermietung 60,-- / Woche
Schnell & einfach montiert
Oder auch 2 E Bikes
auch für E Velos geeignet
Schnellhebelbegestigung"
"1678953522-618","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","3 x Velo / Fahrrad","St. Gallen, 9652, 25.02.2023","160.-","Verkaufe 3 gute Velos gemäss Fotos."
"1678953522-619","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Verschiedene Lenkervorbauten. Aheadset 1 1/8""","Aargau, 5210, 25.02.2023","3.-","Termin schriftlich mit mir vereinbaren, erst dann schicke ich die Abholadresse.

Versand kostet 7.- .

Verschiedene Lenkervorbauten.

Preis: 3.- pro Stück.

Alle Schrauben sind dabei.

Für Lenker mit 25.4mm (1 Zoll) Durchmesser.

Für 28.6mm (1 1/8 Zoll) Ahead Gabelschaft.

Habe viele Velos, Mofas und Ersatzteile zu verkaufen."
"1678953522-620","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Umwerfer SRAM X5, Wechsler vorne, 2x10, E-Type","Aargau, 5210, 25.02.2023","3.-","Termin schriftlich mit mir vereinbaren, erst dann schicke ich die Abholadresse.

Versand kostet 7.- .

Umwerfer SRAM X5.

Geeignet für 2x10-fach Schaltsysteme.

E-Type.

Habe viele Velos, Mofas und Ersatzteile zu verkaufen."
"1678953522-621","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Veloanhänger Burley","Aargau, 4800, 25.02.2023","50.-","gebrauchter Veloanhänger von Burley inkl. zwei Anhängerkupplungen (für 2 Velos)."
"1678953522-622","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","VW T3 Westfalia Joker","Graubünden, 7000, 25.02.2023","28'000.-","Wir Verkaufen unseren VW T3 Joker

Ausstattung:
-Frischwassertank
-Abwassertank
-Gastank geprüft 2019
- Kühlschrank
- Zwei Flammen Gasherd
- Standheizung
- Fahrradträger für zwei Velos
- Keder plus ein Vordach und eine Seitenwand

Im Bus können max 4 Personen Schlafen, und Essen (es hat 2 Tische)
Wir haben jährlich einen Service gemacht und die nötigen Instandhaltungen durchgeführt

Der Bus ist technisch, Innen und Aussen in einem sehr guten Zustand. Wir kauften ihn aus Erster Hand"
"1678953522-623","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","BIXS Splash EQ Velo / Bike / Hardtail/ ab Service","Aargau, 5600, 25.02.2023","480.-","Zu verkaufen ist dieses schöne und stillvolle BIXS Velo/Bike, Modell Splash EQ aus dem Fachgeschäft. Da das Bike eh abgeholt werden muss, empfehlen wir Ihnen eine Testfahrt vor dem Bieten.

Beschreibung;
Sehr stabiles und robustes Fahrrad mit Alu-Rahmen
Solide Qualität, gute Verarbeitung, kein Billig Schrott
Neue Qualitäts Reifen von Schwalbe
Neuer Seitenständer 
Bremsscheiben 
LED Frontlicht
Rücklicht mit Standlicht Funktion 
Prima Sattel passend zum Bike
Nabendynamo
Neues Kabelschloss mit Ersatzschlüssel 
Klingel 
Sagenhafte 24 Gänge
Viele einzigartige Details und die schöne Lackierung werten das Velo auf
Die schöne stabile Rahmenform, die futuristische Aufschrift und die schöne Lackierung verleihen dem Velo viel Charme und neidische Blicke
Elegant und stillvoll ankommen

Masse:
Rahmengrösse 38cm, bestens geeignet für Körper Grössen ab 1.50 bis 1.65 (je nach Schrittlänge)
27.5 Zoll Räder

Sonstiges:
Kleine Gebrauchsspuren gehören zum Lieferumfang
Fahrrad kann gerne in Lenzburg besichtigt und Probe gefahren werden.
Schauen Sie sich auch meine anderen Velos im Angebot an, bestimmt werden Sie ein passendes finden

Lieferung:
Lieferung per Bahn gegen einen Aufpreis von 25 Fr. zu einem bedienten Bahnhof schweizweit möglich.
 
Auch haben wir laufend Modelle der Marken:
Aarios, ALPA. Alpina, Bianchi, Canyon, Cilo, Condor, Coronado, Creme, Cresta, Diamant, Kristall, KTM, Mondia, Mustang, Price, Puki, Scott, Stöckli, Swiss Olympic, Tigra, Tour de Suisse, UTO, Villiger, Wheeler, etc., auf Lager."
"1678953522-624","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Original Militärvelo vom Spezialisten Jg. 1959 *Versand OK*","Bern, 3814, 25.02.2023","449.-","**VERSAND MÖGLICH** DAS ORIGINAL Schweizer Ordonnanzrad 05 in sehr gutem Zustand und vom Fachmann revidiert

Hersteller : COSMOS (B. Schild & Co., Biel - Madretsch)
Jahrgang : 1959
Rahmennummer : 50751
Produktionsnummer : BSC 116151 262
Militär - Abnahmestempel : +Ba

Komplett mit:

Original Ledersattel
Original Glocke
Original Beleuchtung
Original Maloya Reifen in neuwertigem Zustand
Hebie Speichenschloss mit 1 Schlüssel
Inca Seitenständer

Das Velo wurde fachmännisch revidiert und gereinigt und ist, trotz Gebrauchsspuren/Patina (siehe Fotos), die dem Alter entsprechen (64 jährig!), in sehr gutem Zustand und voll funktionstüchtig.

Das Original Militärvelo vom Spezialisten. Darauf sitzen und losfahren...

Besichtigung und Probefahrt möglich - bitte Termin vereinbaren.

Schauen Sie sich alle meine anderen Veloangebote auch an! Mit über 50 Velos im Angebot, finden Sie sicher das richtige für Sie !!

Abzuholen in 3814 Gsteigwiler (in der Nähe von Interlaken). Oder Versand per Bahn :
Abholung durch Käufer (Barzahlung) oder, gegen Vorauszahlung des Kaufbetrags plus Transportkosten (Fr. 21.-), an jeden bedienten Bahnhof mit Gepäckschalter in der Schweiz lieferbar.

Der Verkauf erfolgt unter Ausschluss jeglicher Gewährleistung, Garantie und Rücknahme, da Privatverkauf."
"1678953522-625","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Veloträger für 2 Velos auf Anhängekupplung","Zürich, 8335, 25.02.2023","220.-","Veloträger für 2 Velos. Einfache Handhabung für die Montage. Leicht nach hinten ausziehbar und absenkbar."
"1678953522-626","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Ca. 45 Velos","Zürich, 8004, 25.02.2023","800.-","Ca 45 Velos
In Meilen abzuholen
Für export oder Batsler"
"1678953522-627","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Velo kindersitz.","Thurgau, 9320, 25.02.2023","10.-","Günstig abzugeben.
Velo Sitz hama  mit Kupplung, passend für alle Velos. Gebraucht, aber in guter Zustand.
Einzige defekt, rechte fussbändeli von Pedale ist der Haken zum klicken defekt. Der linke fusseinlage Pedale ist in Ordnung, bändeli auch.
Neuer Preis damals 69fr.
In Arbon bitte abholen.
0765095703 watssapp."
"1678953522-628","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Lucifer 5 Velo Mofa Rücklicht antik","Bern, 3097, 25.02.2023","60.-","Lucifer 5 Mofa Velorücklicht Vintage antik. Im guten, gebrauchten Zustand.Das Gehäuse hat ein paar Gebrauchsspuren und oben eingerissen. Siehe Bilder. Hat auf die Funktion keinen Einfluss.
Dies ist ein gebrauchter, sehr alter Artikel. Bitte nur kaufen, wenn sie mit dem Zustand einverstanden sind, keine Rücknahme!
War an einem Sachs 502 montiert, passt auch an ein Sachs 503 oder Puch Velux X30. Auch an alte Velos passend.Selten mehr zu finden.
Versand plus CHF 10.-"
"1678953522-629","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Fahrrolle","Schwyz, 8864, 25.02.2023","40.-","Frei-Fahrrolle  zusammenklappbar
aus Stahlrohre &  Kugelager
muss abgeholt werden.
ohne Garantie,
Ideal für Renn-Velos
Bezahlung bei Abholung."
"1678953522-630","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=20&query=velos","Pletscher easyfix Gepäckträger","Aargau, 5430, 25.02.2023","20.-","ATHLETE 3P-System Schwarz/L1 310/L2 345 mm - Die Träger passen an alle Velos mit 26""oder 28""-Rädern. Dauerhaft pulverbeschichtet, schwarz. Montagestreben separat bestellen. Auflagefläche 14 x 33cm. 790g
leichte Spuren ansonsten guter Zustand.
habe dazu auch einen Velositz.
siehe Inserat"
"1678953524-631","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=19&query=velos","Velodachträger","Zürich, 8910, 27.02.2023","20.-","Velodachträger für 2 Velos. Marke Automaxi.
Neuwertig, nur wenige Male gebraucht.
Auf jeden Autodachträger montierbar mit sämtlichem Befestigungsmaterial für Träger und Velos."
"1678953524-632","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=19&query=velos","VW Caddy Wohnmobil - Allrad - 4 Motion 100% Autark Solar","Aargau, 6042, 27.02.2023","33'000.-","Ausstattung Fahrzeug:

2.0L 75 PS Diesel EUR6 Motor
6-Gang Handschaltung
Allradsystem 4 Motion
Boardcomputer 
PDC hinten
Schiebetür rechts mit Fenster
Schiebetür links mit Fenster
Hecktüren mit Fenster
Seitenteile verglast
EZ 07.2016

Grundausstattung GEOVAN M Wohnmobilausstattung:

Sitzen und Schlafen
- Sitzbank zum Sitzen 165cm * 140cm L-Form
- Bett mit der Grösse 140cm * 200cm, die Länge wird durch Verstellen der Vordersitze erreicht
- Stoffbezug im Wohnbereich ist abnehmbar und kann gewaschen werden, verschiedene Farben verfügbar. Eine Farbauswahl kann bei Übernahme des Fahrzeugs bestimmt werden
- Tisch, mit festen Fuss, drehbar, herausnehmbar
- Der Tisch bildet im heruntergefahrenen Zustand Bestandteil des Bett

Kücheneinrichtung
- Kompressorschublade 30L, vollelektrisch, es wird kein Gas benötigt
- Induktionskochfeld mit Touchfunktion, herausnehmbar um aussen zu Kochen, vollversenkt ohne Kante verbaut
- Grosse Spüle inkl. Wasserhahn und extra flachen Abdeckung

Wasserversorgung
- 49L Frischwassertank mit Tauchpumpe für den Wasserbezug
- Anschluss für Wasserbetankung von innen, hinter dem Fahrersitz
- Dusche für Aussen, in den Küchenblock integriert

Beleuchtung
- 2 x LED Leselampe

Heizen und Lüften
- Standheizung*
- Dachfenster 28*28cm mit Moskitoschutz und Dauerbelüftung
* Bei Fahzeugen mit Benzin, Benzinstandheizung/ bei Dieselfahrzeugen, Dieselstandheizung
Bezug des Treibstoffs direkt aus dem original Fahrzeugtank

Elektrizität
- 100AH Lithium Batterie
- Victron Ladebooster 18A/12V inkl. Bluetoothsteuerung, für die Landung während der Fahrt
- Victron Laderegler Solar 10A
- 120 Watt Solarpanel, ETFE beschichtet für eine lange Haltbarkeit
- Spannungswandler mit reiner Sinuswelle (medizinische Geräte und E-Bike laden möglich), eine Steckdose 230V verfügbar

Stauraum
- Diverse Fächer und Schubladen für Gegenstände
- grosser Laderaum unter/ hinter den Vordersitzen

Garantie und Gewährleistung
- Der Campingausbau ist mit zwei Jahren Garantie versehen.
- Das Grundfahrzeug hat bei Kauf eine Garantie von 2 Jahren inbegriffen

Übergabe/ Auslieferung
- Das Fahrzeug wird inklusiver Einweisung in alle Funktionen und Mechanismen übergeben
- Das Fahrzeug hat frischen MFK, frischen Service
- Zulassung als Wohnmobil
- Unsere Fahrzeuge werden vollgetankt und mit aktueller Vignette übergeben
- Gerne übernehmen wie das Einlösen des Fahrzeugs

Der GEOVAN M besticht durch seine kompakten Masse, kein Parkhaus, keine Parklücke ist eine Herausforderung. Zu dem sind diese Fahrzeuge sehr wendig und liegen im sehr günstigen Bereich was den Treibstoffverbrauch anbelangt.
Der Wohnausbau ist komplett neu. Unsere Fahrzeuge sind für 2 Personen zugelassen. Alle GEOVAN`s, welche unser Unternehmen verlassen sind ein Wohnmobil mit der dazugehörigen Zulassung. Unsere Fahrzeuge sind grundsätzlich ab Motofahrzeugkontrolle und frischen Service.
Wir bieten Finanzierungen oder Leasing mit oder ohne Anzahlung an. Garantieverlängerung und Garantieerweiterungen sind möglich. Bei uns gibt es keine Ablieferungspauschale.

Optionale Zusätze:
- Anhängerkupplung fix Montiert inkl. MFK Abnahme 1350CHF
- Anhängerkupplung abnehmbar inkl. MFK Abnahme 1750CHF
- Fahrradträger für 2 Velos auf der Heckklappe, auch beladen zu öffnen 750CHF
- Winterreifen auf Stahlfelgen 900CHF (je nach Bestand und Verfügbarkeit)
- Alufelgen mit Bereifung ab 1000CHF (je nach Bestand und Verfügbarkeit)
- Heckzelt 190CHF (Für Fahrzeuge mit Heckklappe)
- Kederschiene mit Markise komplett Set 550CHF
- Gardienen für die Fenster im Wohnraum 400CHF
- Vorhang zum Abtrennen Fahrerhaus/ Wohnraum 300CHF
- Weiteres Zubehör auf Anfrage

*Zwischenverkauf, Tippfehler und Irrtümer vorbehalten"
"1678953524-633","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=19&query=velos","Velos","St. Gallen, 9000, 27.02.2023","9'000.-","2022 Neupreis 1500.- jetzt 900.-"
"1678953524-634","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=19&query=velos","Velo gebraucht 24Zoll","Bern, 3536, 27.02.2023","150.-","Velo Trekk MT220 zu verkaufen. Velo ist gebraucht, aber in gutem Zustand. Service wurde im Frühling 2022 gemacht (durch Velo-Mech), seither nicht mehr oft gebraucht. 

Grund des Verkaufs: unsere Kinder haben unterdessen grössere Velos."
"1678953524-635","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=19&query=velos","Erw. Velo/Fahrrad California Presto/City Bike wie Neu","Luzern, 6221, 26.02.2023","495.-","2 tolle Velos/Fahrräder wie neu wurden leider nur 1-2 gefahren sind komplett neu?

Marke California Presto - Grau matt 

Herren- und Damenvelo komplett keine Gebrauchsspuren vorhanden, wegen Neuanschaffung - Platzmangel zu verkaufen.

Gekauft bei Jumbo Neupreis pro Velo lag bei 450.00chf
Preis gilt für beide Velos
Können aber auch Einzeln gekauft werden 280.00.-

Aus tier - und rauchfreiem Haushalt"
"1678953524-636","https://www.tutti.ch/de/q/suche/Ak6V2ZWxvc8CUwMDAwA?sorting=newest&page=19&query=velos","Vintage Herrenvelo ""Eiger""","Zürich, 8135, 26.02.2023","350.-","Dieses Schweizer Herrenvelo von 1957 mit Torpedo-Rücktritt-Nabe (Sachs) ist unglaublich gut erhalten! Der ganze Aufbau erinnert noch an die Bauart der 1930er/40er Jahre. Bis auf die altershalber etwas rissigen Wulst-Reifen besteht kaum Handlungsbedarf, sei es zum Fahren oder zum Bereichern einer gepflegten Sammlung oder als Nostalgie-Deko-Objekt. Abholen in Langnau am Albis. Habe noch weitere alte und uralte Velos zu verkaufen."
